Weather,bicycle,bridge,building,bus,car,cargroup,dynamic,fence,ground,guard rail,motorcycle,parking,person,pole,rider,road,sidewalk,sky,static,terrain,traffic light,traffic sign,trailer,truck,tunnel,vegetation,wall
DD,0,128,130,21,194,29,0,33,43,78,0,0,39,42,0,54,16,43,232,50,2,60,0,66,50,280,121
DN,0,0,19,18,37,0,2,0,11,20,0,0,0,7,0,16,0,11,31,3,0,20,0,47,0,49,4
HD,243,106,170,167,169,71,240,185,72,80,0,177,167,85,218,86,315,73,1203,137,265,97,0,98,46,297,94
ND,0,89,33,32,216,32,5,60,28,58,0,68,53,26,0,34,40,31,273,26,85,44,0,43,92,84,45
NN,0,38,110,88,303,273,576,79,60,129,500,68,21,86,282,73,61,59,757,40,125,121,0,31,36,129,94
NR,0,17,18,12,43,72,22,16,17,36,0,0,119,33,0,21,25,19,302,12,58,30,500,38,12,44,25
NS,257,42,33,73,201,39,33,76,46,68,0,74,193,47,0,47,101,39,400,53,107,65,0,23,104,112,74
RD,0,149,95,125,355,189,99,140,133,267,0,113,100,188,0,162,105,135,1518,199,263,264,0,199,112,370,138
RN,0,15,8,3,84,0,38,46,38,37,0,0,57,42,0,44,49,38,250,23,47,86,0,10,127,64,25
SD,0,0,4,30,44,0,8,16,53,111,0,0,0,12,0,56,0,52,66,54,0,35,0,40,0,142,22
